Row Labels;Sum of msgs_per_sec;;
2026-01-17T15:57:50.7342343Z;4948;;4948
2026-01-17T15:57:51.7466050Z;5096;;5096
2026-01-17T15:57:52.7714076Z;5441;;5441
2026-01-17T15:57:53.7998278Z;4871;;4871
2026-01-17T15:57:54.8320299Z;5425;;5425
2026-01-17T15:57:55.8506267Z;3144;;3144
2026-01-17T15:57:56.8657088Z;3963;;3963
2026-01-17T15:57:57.8678145Z;6647;;6647
2026-01-17T15:57:58.8974024Z;5961;;5961
2026-01-17T15:57:59.9200684Z;5656;;5656
2026-01-17T15:58:00.9318174Z;4893;;4893
2026-01-17T15:58:01.9467846Z;4747;;4747
2026-01-17T15:58:02.9507614Z;5772;;5772
2026-01-17T15:58:03.9514561Z;4406;;4406
2026-01-17T15:58:04.9567140Z;5414;;5414
2026-01-17T15:58:05.9623294Z;5033;;5033
2026-01-17T15:58:06.9673350Z;5619;;5619
2026-01-17T15:58:07.9807165Z;4798;;4798
2026-01-17T15:58:08.9823566Z;4954;;4954
2026-01-17T15:58:09.9851042Z;5519;;5519
2026-01-17T15:58:10.9971949Z;4965;;4965
2026-01-17T15:58:11.9984687Z;4512;;4512
2026-01-17T15:58:12.9995343Z;5360;;5360
2026-01-17T15:58:14.0029619Z;5293;;5293
2026-01-17T15:58:15.0037107Z;5157;;5157
2026-01-17T15:58:16.0121337Z;5037;;5037
2026-01-17T15:58:17.0128020Z;5394;;5394
2026-01-17T15:58:18.0210219Z;5293;;5293
2026-01-17T15:58:19.0263514Z;4673;;4673
2026-01-17T15:58:20.0330466Z;5054;;5054
2026-01-17T15:58:21.0420283Z;4107;;4107
2026-01-17T15:58:22.0497741Z;6124;;6124
2026-01-17T15:58:23.0567443Z;4955;;4955
2026-01-17T15:58:24.0567024Z;5086;;5086
2026-01-17T15:58:25.0565576Z;4954;;4954
2026-01-17T15:58:26.0571412Z;5010;;5010
2026-01-17T15:58:27.0650732Z;5029;;5029
2026-01-17T15:58:28.0734396Z;4956;;4956
2026-01-17T15:58:29.0807750Z;4998;;4998
2026-01-17T15:58:30.0812584Z;5029;;5029
2026-01-17T15:58:31.0821432Z;5022;;5022
2026-01-17T15:58:32.0813308Z;4958;;4958
2026-01-17T15:58:33.0815768Z;4985;;4985
2026-01-17T15:58:34.0818724Z;5001;;5001
2026-01-17T15:58:35.0912063Z;5066;;5066
2026-01-17T15:58:36.0957324Z;4993;;4993
2026-01-17T15:58:37.0995069Z;4973;;4973
2026-01-17T15:58:38.0994770Z;4986;;4986
2026-01-17T15:58:39.1065269Z;4952;;4952
2026-01-17T15:58:40.1119665Z;5061;;5061
2026-01-17T15:58:41.1225739Z;4996;;4996
2026-01-17T15:58:42.1260822Z;4898;;4898
2026-01-17T15:58:43.1291609Z;5102;;5102
2026-01-17T15:58:44.1390238Z;4969;;4969
2026-01-17T15:58:45.1471229Z;5060;;5060
2026-01-17T15:58:46.1489464Z;4964;;4964
2026-01-17T15:58:47.1641776Z;4999;;4999
2026-01-17T15:58:48.1648231Z;4978;;4978
2026-01-17T15:58:49.1712504Z;5029;;5029
2026-01-17T15:58:50.1733831Z;4986;;4986
2026-01-17T15:58:51.1738060Z;4989;;4989
2026-01-17T15:58:52.1820807Z;5012;;5012
2026-01-17T15:58:53.1872032Z;5033;;5033
2026-01-17T15:58:54.1870662Z;4952;;4952
2026-01-17T15:58:55.1900819Z;4980;;4980
2026-01-17T15:58:56.1903275Z;5012;;5012
2026-01-17T15:58:57.1906741Z;5065;;5065
2026-01-17T15:58:58.1898331Z;4951;;4951
2026-01-17T15:58:59.1966181Z;5035;;5035
2026-01-17T15:59:00.2114624Z;4908;;4908
2026-01-17T15:59:01.2353921Z;5147;;5147
2026-01-17T15:59:02.2457808Z;4981;;4981
2026-01-17T15:59:03.2921484Z;5078;;5078
2026-01-17T15:59:04.3291069Z;5093;;5093
2026-01-17T15:59:05.3426505Z;4951;;4951
2026-01-17T15:59:06.3690918Z;5224;;5224
2026-01-17T15:59:07.3714529Z;5001;;5001
2026-01-17T15:59:08.4393135Z;5009;;5009
2026-01-17T15:59:09.4501142Z;5038;;5038
2026-01-17T15:59:10.4595515Z;5231;;5231
2026-01-17T15:59:11.4670251Z;5135;;5135
2026-01-17T15:59:12.4996164Z;5165;;5165
2026-01-17T15:59:13.5261371Z;4911;;4911
2026-01-17T15:59:14.5546592Z;5192;;5192
2026-01-17T15:59:15.5859245Z;5149;;5149
2026-01-17T15:59:16.5971284Z;4713;;4713
2026-01-17T15:59:17.6198471Z;5339;;5339
2026-01-17T15:59:18.6583196Z;4815;;4815
2026-01-17T15:59:19.6838779Z;5409;;5409
2026-01-17T15:59:20.7404944Z;5221;;5221
2026-01-17T15:59:21.7423205Z;5006;;5006
2026-01-17T15:59:22.7424111Z;5156;;5156
2026-01-17T15:59:23.7721974Z;5138;;5138
2026-01-17T15:59:24.7771710Z;5217;;5217
2026-01-17T15:59:25.7781752Z;4904;;4904
2026-01-17T15:59:26.7866590Z;5101;;5101
2026-01-17T15:59:27.8185936Z;4944;;4944
2026-01-17T15:59:28.8215468Z;4981;;4981
2026-01-17T15:59:29.8343668Z;5111;;5111
2026-01-17T15:59:30.8710132Z;5296;;5296
2026-01-17T15:59:31.8722050Z;4429;;4429
2026-01-17T15:59:32.9014894Z;5827;;5827
2026-01-17T15:59:33.9073574Z;5062;;5062
2026-01-17T15:59:34.9263757Z;5185;;5185
2026-01-17T15:59:35.9405236Z;4901;;4901
2026-01-17T15:59:36.9511437Z;4756;;4756
2026-01-17T15:59:37.9566183Z;5496;;5496
2026-01-17T15:59:38.9569390Z;4794;;4794
2026-01-17T15:59:39.9703258Z;5820;;5820
2026-01-17T15:59:40.9804815Z;4615;;4615
2026-01-17T15:59:41.9897426Z;4996;;4996
2026-01-17T15:59:42.9976225Z;4708;;4708
2026-01-17T15:59:44.0032965Z;5788;;5788
2026-01-17T15:59:45.0119034Z;5196;;5196
2026-01-17T15:59:46.0187177Z;5231;;5231
